input,response,intent
Berapa biaya untuk ujian Sumatif Tengah Semester genap di SMP Islam Arrohman?,Biaya Ujian Sumatif Tengah Semester Genap di SMP Islam Arrohman adalah Rp. 75.000.,tanya_biaya_ujian
Berapa biaya untuk ujian Sumatif Akhir Tahun genap di SMP Islam Arrohman?,Biaya Ujian Sumatif Akhir Tahun Genap di SMP Islam Arrohman adalah Rp. 75.000.,tanya_biaya_ujian
Berapa biaya untuk ujian ANBK di SMP Islam Arrohman?,Biaya Ujian ANBK di SMP Islam Arrohman adalah Rp. 75.000.,tanya_biaya_ujian
Berapa biaya untuk Ujian Nasional di SMP Islam Arrohman?,Biaya Ujian Nasional di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_ujian
Berapa biaya untuk Ujian Sekolah kelas IX di SMP Islam Arrohman?,Biaya Ujian Sekolah kelas IX di SMP Islam Arrohman adalah Rp. 80.000.,tanya_biaya_ujian
Berapa biaya untuk Ujian Praktek kelas IX di SMP Islam Arrohman?,Biaya Ujian Praktek kelas IX di SMP Islam Arrohman adalah Rp. 85.000.,tanya_biaya_ujian
Berapa biaya untuk Ujian Sekolah kelas IX atau kelas 9 di SMP Islam Arrohman?,Biaya Ujian Sekolah kelas IX di SMP Islam Arrohman adalah Rp. 80.000.,tanya_biaya_ujian
Berapa biaya untuk Ujian Praktek kelas IX atau kelas 9 di SMP Islam Arrohman?,Biaya Ujian Praktek kelas IX di SMP Islam Arrohman adalah Rp. 85.000.,tanya_biaya_ujian
Apakah ujian Sumatif di SMP Islam Arrohman dikenakan biaya?,Biaya Ujian Sumatif di SMP Islam Arrohman adalah Rp. 75.000 untuk setiap periode ujian.,tanya_biaya_ujian
Apakah ada biaya untuk Ujian Praktek kelas 9 di SMP Islam Arrohman?,Biaya Ujian Praktek kelas IX di SMP Islam Arrohman adalah Rp. 85.000.,tanya_biaya_ujian
Apakah Ujian Nasional di SMP Islam Arrohman gratis atau berbayar?,Biaya Ujian Nasional di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_ujian
Berapa biaya ujian akhir tahun di SMP Islam Arrohman?,Biaya Ujian Sumatif Akhir Tahun Genap di SMP Islam Arrohman adalah Rp. 75.000.,tanya_biaya_ujian
Berapa Biaya ujian?,Biaya Ujian Sumatif di SMP Islam Arrohman adalah Rp. 75.000 untuk setiap periode ujian.,tanya_biaya_ujian
Berapa Biaya ujian Sumatif?,Biaya Ujian Sumatif di SMP Islam Arrohman adalah Rp. 75.000 untuk setiap periode ujian.,tanya_biaya_ujian
Berapa biaya ujian nasional?,Biaya Ujian Nasional di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_ujian
Berapa biaya ujian praktek?,Biaya Ujian Praktek kelas IX di SMP Islam Arrohman adalah Rp. 85.000.,tanya_biaya_ujian
Biaya ujian Praktek?,Biaya Ujian Praktek kelas IX di SMP Islam Arrohman adalah Rp. 85.000.,tanya_biaya_ujian
Biaya ujian Sumatif?,Biaya Ujian Sumatif di SMP Islam Arrohman adalah Rp. 75.000 untuk setiap periode ujian.,tanya_biaya_ujian
biaya ujian Nasional, Biaya Ujian Nasional di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_ujian
Biaya ujian ANBK?,Biaya Ujian ANBK di SMP Islam Arrohman adalah Rp. 75.000.,tanya_biaya_ujian
Berapa harga formulir pendaftarannya?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp.100.000.,tanya_biaya_formulir
Saya ingin tahu biaya formulir pendaftaran,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp.100.000.,tanya_biaya_formulir
Apakah formulir pendaftaran dikenakan biaya?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp.100.000.,tanya_biaya_formulir
Berapa biaya formulir pendaftaran di sekolah ini?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp.100.000.,tanya_biaya_formulir
Tolong informasikan harga formulir pendaftaran.,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp.100.000.,tanya_biaya_formulir
Apakah ada biaya untuk formulir pendaftaran di SMP Arrohman?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp.100.000.,tanya_biaya_formulir
Harga formulir pendaftaran masuk SMP Islam Arrohman berapa?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp.100.000.,tanya_biaya_formulir
Berapa biaya formulir pendaftaran di SMP Islam Arrohman?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp.100.000.,tanya_biaya_formulir
Apakah formulir pendaftaran gratis atau berbayar?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp.100.000.,tanya_biaya_formulir
Berapa harga formulir pendaftaran di SMP Arrohman?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp.100.000.,tanya_biaya_formulir
Berapa biaya untuk mendaftar di SMP Islam Arrohman?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp.100.000.,tanya_biaya_formulir
