input,response,intent
Apakah biaya LKS wajib dibayar?,Biaya buku lks di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_lks
Biaya pendaftaran?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Biaya ujian?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
"Halo, assalamualaikum",Wa'alaikumsalam. Ada yang bisa saya bantu?,ucapan_salam
Biaya daftar ulang?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Biaya baju sekolah?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
SPP satu bulan brp?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Bayar gedung?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Daftar ulang brapa?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Biaya ANBK?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
"Halo, assalamualaikum",Hai! Ada yang bisa saya bantu?,ucapan_salam
Formulir daftar brp?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Seragamnya brp?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
SPP naik tidak?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Ada DSP?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Pendaftaran brapa?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Ujian sumatif tengah semester brp?,Biaya Ujian sumatif tengah semester di SMP Islam Arrohman Rp. 75.000.,tanya_biaya_ujian
Wassalam wr wb,Selamat pagi! Ada yang bisa saya bantu?,ucapan_salam
Daftar formulir?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Harga seragam sekolah?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
SPP naik tidak?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Gedung brp?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Total daftar brp?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Biaya ANBK?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Pagi bapak TU,Selamat pagi! Silakan bertanya.,ucapan_salam
Pendaftaran brapa?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Biaya baju sekolah?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
SPP naik tidak?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Bayar gedung?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Pendaftaran brapa?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Ujian sumatif akhir semester brp?,Biaya Ujian sumatif akhir semester di SMP Islam Arrohman Rp. 100.000.,tanya_biaya_ujian
Pagi TU,Wa'alaikumsalam. Ada yang bisa saya bantu?,ucapan_salam
Biaya daftar ulang?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Harga seragam sekolah?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
Bayar spp brapa?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Ada DSP?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Biaya daftar masuk?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Ujian praktek brapa?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Wassalam wr wb,Selamat pagi! Ada yang bisa saya bantu?,ucapan_salam
Formulir daftar brp?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Total baju sekolah brp?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
SPP total setahun?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Bayar gedung?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Daftar ulang brapa?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Ujian sumatif brp?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Pagi bapak TU,Sama-sama! Semoga membantu.,ucapan_salam
Formulir daftar brp?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Seragam total brp?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
SPP satu bulan brp?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Ada DSP?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Pendaftaran brapa?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Ujian sekolah brapa?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Pagi TU,Selamat pagi! Silakan bertanya.,ucapan_salam
Pendaftaran brapa?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Total baju sekolah brp?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
Bayar spp brapa?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Bayar gedung?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Daftar ulang brapa?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Biaya ujian nasional?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Makasih TU,Hai! Ada yang bisa saya bantu?,ucapan_salam
Biaya daftar ulang?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Biaya baju sekolah?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
Bayar spp brapa?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Bayar gedung?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Biaya pendaftaran?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Biaya ANBK?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Hai admin TU,Sama-sama! Senang membantu Anda.,ucapan_salam
Pendaftaran brapa?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Seragamnya brp?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
Bayar bulanan brapa?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
DSP sekolah ada?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Pendaftaran brapa?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Biaya ANBK?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Makasih TU,Sama-sama! Semoga membantu.,ucapan_salam
Daftar formulir?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Seragamnya brp?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
Bayar bulanan brapa?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Gedung bayar brp?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Pendaftaran brapa?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Ujian sekolah brapa?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Makasih TU,Wa'alaikumsalam. Ada yang bisa saya bantu?,ucapan_salam
Biaya daftar ulang?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Total baju sekolah brp?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
SPP naik tidak?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Gedung bayar brp?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Biaya pendaftaran?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Ujian praktek brapa?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Pagi TU,Wa'alaikumsalam warahmatullahi wabarakatuh.,ucapan_salam
Biaya daftar ulang?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Seragam total brp?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
Bayar spp brapa?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Ada DSP?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Total daftar brp?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Biaya ujian?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
"Halo, assalamualaikum",Hai! Ada yang bisa saya bantu?,ucapan_salam
Biaya daftar ulang?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Total baju sekolah brp?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
SPP total setahun?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
DSP nya brp?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Pendaftaran brapa?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Ujian sumatif brp?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Terimakasih TU,Sama-sama! Semoga membantu.,ucapan_salam
Brp biaya daftar?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Total baju sekolah brp?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
Bayar spp brapa?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
DSP nya brp?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Biaya daftar masuk?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Biaya apa saja yang dibebankan kepada siswa?,Biaya yang dibebankan meliputi formulir pendaftaran daftar ulang seragam spp buku lks ujian-ujian hari besar islam dll.,tanya_biaya_pendaftaran
Ujian sumatif brp?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Pagi TU,Wa'alaikumsalam warahmatullahi wabarakatuh.,ucapan_salam
Pendaftaran brapa?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Berapa biaya seragam?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
Bayar bulanan brapa?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
Gedung brp?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Total daftar brp?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Biaya ANBK?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Wassalam wr wb,Sama-sama! Semoga membantu.,ucapan_salam
Berapa biaya formulir?,Biaya formulir pendaftaran di SMP Islam Arrohman adalah Rp. 100.000.,tanya_biaya_formulir
Seragamnya brp?,Biaya seragam di SMP Islam Arrohman adalah Rp. 375.000.,tanya_biaya_seragam
SPP total setahun?,Biaya SPP per bulan di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_spp
DSP sekolah ada?,Tidak ada biaya DSP atau bangunan di SMP Islam Arrohman.,tanya_biaya_dsp
Pendaftaran brapa?,Total biaya pendaftaran tahun ini di SMP Islam Arrohman adalah Rp. 300.000.,tanya_biaya_pendaftaran
Ujian praktek brapa?,Biaya Ujian di SMP Islam Arrohman bervariasi antara Rp. 75.000 hingga Rp. 100.000.,tanya_biaya_ujian
Pagi TU,Sama-sama! Senang membantu Anda.,ucapan_salam
Biaya ekskul pramuka brp?,Biaya ekskul pramuka di SMP Islam Arrohman gratis.,tanya_biaya_ekstrakulikuler
Biaya ekskul hadroh brp?,Biaya ekskul hadroh di SMP Islam Arrohman gratis.,tanya_biaya_ekstrakulikuler
Biaya ekskul futsal brp?,Biaya ekskul futsal di SMP Islam Arrohman gratis.,tanya_biaya_ekstrakulikuler
Biaya ekskul silat brp?,Biaya ekskul silat di SMP Islam Arrohman gratis.,tanya_biaya_ekstrakulikuler
Biaya buku paket?,Tidak ada biaya buku paket di SMP Islam Arrohman.,tanya_biaya_paket
Berapa biaya paket?,Tidak ada biaya buku paket di SMP Islam Arrohman.,tanya_biaya_paket
Harga paket di sekolah?,Tidak ada biaya buku paket di SMP Islam Arrohman.,tanya_biaya_paket
Buku paket apa saja yang didapatkan?,Buku paket semua mata pelajaran.,tanya_biaya_paket
Lks berapa harganya?,Biaya buku lks di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_lks
Apakah ada biaya untuk buku lks?,Biaya buku lks di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_lks
Berapa harga buku LKS SMP Arrohman?,Biaya buku lks di SMP Islam Arrohman adalah Rp. 150.000.,tanya_biaya_lks
Apakah buku LKS sudah termasuk semua pelajaran?,Buku Lks semua mata pelajaran.,tanya_biaya_lks
